cat_id,name,url,parent_id,create_at
1,Điện Thoại - Máy Tính Bảng,https://tiki.vn/dien-thoai-may-tinh-bang/c1789?src=c.1789.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
2,Điện Tử - Điện Lạnh,https://tiki.vn/tivi-thiet-bi-nghe-nhin/c4221?src=c.4221.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
3,Phụ Kiện - Thiết Bị Số,https://tiki.vn/thiet-bi-kts-phu-kien-so/c1815?src=c.1815.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
4,Laptop - Thiết bị IT,https://tiki.vn/laptop-may-vi-tinh/c1846?src=c.1846.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
5,Máy Ảnh - Quay Phim,https://tiki.vn/may-anh/c1801?src=c.1801.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
6,Điện Gia Dụng,https://tiki.vn/dien-gia-dung/c1882?src=c.1882.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
7,Nhà Cửa Đời Sống,https://tiki.vn/nha-cua-doi-song/c1883?src=c.1883.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
8,Hàng Tiêu Dùng - Thực Phẩm,https://tiki.vn/bach-hoa-online/c4384?src=c.4384.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
9,"Đồ chơi, Mẹ & Bé",https://tiki.vn/me-va-be/c2549?src=c.2549.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
10,Làm Đẹp - Sức Khỏe,https://tiki.vn/lam-dep-suc-khoe/c1520?src=c.1520.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
11,Thời trang - Phụ kiện,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
12,Thể Thao - Dã Ngoại,https://tiki.vn/the-thao/c1975?src=c.1975.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
13,"Xe Máy, Ô tô, Xe Đạp",https://tiki.vn/o-to-xe-may-xe-dap/c8594?src=c.8594.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
14,Hàng quốc tế,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
15,"Sách, VPP & Quà Tặng",https://tiki.vn/nha-sach-tiki/c8322?src=c.8322.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
16,Voucher - Dịch Vụ - Thẻ Cào,https://tiki.vn/voucher-dich-vu/c11312?src=c.11312.hamburger_menu_fly_out_banner,0,2020-10-03 17:14:25
17, Máy tính bảng (35) ,https://tiki.vn/may-tinh-bang/c1794?src=c.1789.hamburger_menu_fly_out_banner,1,2020-10-03 17:14:26
18, Máy đọc sách (31) ,https://tiki.vn/may-doc-sach/c28856?src=c.1789.hamburger_menu_fly_out_banner,1,2020-10-03 17:14:26
19, Điện thoại Smartphone (154) ,https://tiki.vn/dien-thoai-smartphone/c1795?src=c.1789.hamburger_menu_fly_out_banner,1,2020-10-03 17:14:26
20, Điện thoại bàn (97) ,https://tiki.vn/dien-thoai-ban/c8061?src=c.1789.hamburger_menu_fly_out_banner,1,2020-10-03 17:14:26
21, Điện thoại phổ thông (96) ,https://tiki.vn/dien-thoai-pho-thong/c1796?src=c.1789.hamburger_menu_fly_out_banner,1,2020-10-03 17:14:26
22, Máy giặt (750) ,https://tiki.vn/may-giat/c3862?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
23, Máy lạnh - Máy điều hòa (683) ,https://tiki.vn/may-lanh-may-dieu-hoa/c3865?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
24, Máy nước nóng (339) ,https://tiki.vn/may-nuoc-nong/c3866?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
25, Máy rửa chén (125) ,https://tiki.vn/may-rua-chen/c3864?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
26, Máy sấy quần áo (48) ,https://tiki.vn/may-say-quan-ao/c3863?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
27, Phụ kiện điện lạnh (284) ,https://tiki.vn/phu-kien-dien-lanh/c8074?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
28, Tivi (615) ,https://tiki.vn/tivi/c5015?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
29, Tủ lạnh (1002) ,https://tiki.vn/tu-lanh/c2328?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
30, Tủ đông - Tủ mát (568) ,https://tiki.vn/tu-dong-tu-mat/c3868?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
31, Tủ ướp rượu (35) ,https://tiki.vn/tu-uop-ruou/c3869?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
32, Âm thanh & Phụ kiện Tivi (2572) ,https://tiki.vn/am-thanh-phu-kien-tivi/c26568?src=c.4221.hamburger_menu_fly_out_banner,2,2020-10-03 17:14:31
33," Phụ kiện, linh kiện máy giặt (16) ",https://tiki.vn/phu-kien-linh-kien-may-giat/c28890?src=c.4221.hamburger_menu_fly_out_banner,27,2020-10-03 17:14:37
34," Phụ kiện, linh kiện máy lạnh (180) ",https://tiki.vn/phu-kien-linh-kien-may-lanh/c28886?src=c.4221.hamburger_menu_fly_out_banner,27,2020-10-03 17:14:37
35," Phụ kiện, linh kiện tủ lạnh (9) ",https://tiki.vn/phu-kien-linh-kien-tu-lanh/c28884?src=c.4221.hamburger_menu_fly_out_banner,27,2020-10-03 17:14:37
36," Phụ kiện, linh kiện điện lạnh khác (79) ",https://tiki.vn/phu-kien-linh-kien-dien-lanh-khac/c28892?src=c.4221.hamburger_menu_fly_out_banner,27,2020-10-03 17:14:37
37, Internet Tivi (10) ,https://tiki.vn/internet-tivi/c11524?src=c.4221.hamburger_menu_fly_out_banner,28,2020-10-03 17:14:41
38, Smart Tivi - Android Tivi (415) ,https://tiki.vn/smart-tivi-android-tivi/c4239?src=c.4221.hamburger_menu_fly_out_banner,28,2020-10-03 17:14:41
39, Tivi 4K (263) ,https://tiki.vn/tivi-4k/c6280?src=c.4221.hamburger_menu_fly_out_banner,28,2020-10-03 17:14:41
40, Tivi OLED (28) ,https://tiki.vn/tivi-oled/c7603?src=c.4221.hamburger_menu_fly_out_banner,28,2020-10-03 17:14:41
41, Tivi QLED (61) ,https://tiki.vn/tivi-qled/c8950?src=c.4221.hamburger_menu_fly_out_banner,28,2020-10-03 17:14:41
42, Tivi cao cấp (57) ,https://tiki.vn/tivi-cao-cap/c12900?src=c.4221.hamburger_menu_fly_out_banner,28,2020-10-03 17:14:41
43, Tivi thường (LED) (42) ,https://tiki.vn/tivi-thuong-led/c4236?src=c.4221.hamburger_menu_fly_out_banner,28,2020-10-03 17:14:41
44," Android TV Box, Smart Box (212) ",https://tiki.vn/android-tv-box-smart-box/c7074?src=c.4221.hamburger_menu_fly_out_banner,32,2020-10-03 17:14:50
45, Bộ giải mã âm thanh DAC (6) ,https://tiki.vn/bo-giai-ma-am-thanh-dac/c28872?src=c.4221.hamburger_menu_fly_out_banner,32,2020-10-03 17:14:50
46, Dàn âm thanh (105) ,https://tiki.vn/dan-am-thanh/c4966?src=c.4221.hamburger_menu_fly_out_banner,32,2020-10-03 17:14:50
47, Loa (664) ,https://tiki.vn/loa/c7075?src=c.4221.hamburger_menu_fly_out_banner,32,2020-10-03 17:14:50
